,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
149,"Ride It",Regard,776726,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
150,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",773751,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
151,Yellow,Coldplay,773713,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
152,"If the World Was Ending - feat. Julia Michaels","JP Saxe",767496,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
153,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",766690,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
154,LOCATION,"KAROL G",765109,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
155,"Jocelyn Flores",XXXTENTACION,759680,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
156,Riptide,"Vance Joy",759091,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
157,"Life Is Good (feat. Drake)",Future,755559,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
158,Body,"Russ Millions",754711,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
159,Dior,"Pop Smoke",754568,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
160,"Bubblegum Bitch",MARINA,754245,https://open.spotify.com/track/1yOL7ZiXGx5ULeLoktAUAg
161,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",751292,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
162,Aloha,Maluma,750395,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
163,Closer,"The Chainsmokers",749805,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
164,"Life Goes On",BTS,748199,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
165,"Counting Stars",OneRepublic,740949,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
166,"my ex's best friend (with blackbear)","Machine Gun Kelly",740356,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
167,"Put Your Records On","Ritt Momney",740061,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
168,"Another One Bites The Dust - Remastered 2011",Queen,738467,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
